Potentiels de membrane sur l intervalle de temps [0,30]
P1(24.6) = 0  P2(24.6) = 1.24356
P1(24.7) = 0  P2(24.7) = 1.43736
P1(24.8) = 0  P2(24.8) = 1.43019
P1(24.9) = 0  P2(24.9) = 1.42305
P1(25) = 0  P2(25) = 1.41596
P1(25.1) = 0  P2(25.1) = 1.40889
P1(25.2) = 1.99501  P2(25.2) = 1.40187
P1(25.3) = 3.98007  P2(25.3) = 1.39488
P1(25.4) = 5.95522  P2(25.4) = 1.38792
P1(25.5) = 7.92053  P2(25.5) = 1.381
P1(25.6) = 9.87604  P2(25.6) = 1.37411
P1(25.7) = 11.8218  P2(25.7) = 1.36726
P1(25.8) = 13.7578  P2(25.8) = 1.36044
P1(25.9) = 15.6842  P2(25.9) = 1.35365
P1(26) = 17.601  P2(26) = 1.3469
P1(26.1) = 19.5082  P2(26.1) = 1.34018
P1(26.2) = 0  P2(26.2) = 1.3335
P1(26.3) = 0  P2(26.3) = 1.32685
P1(26.4) = 0  P2(26.4) = 1.32023
P1(26.5) = 0  P2(26.5) = 1.31364
P1(26.6) = 0  P2(26.6) = 1.30709
P1(26.7) = 0  P2(26.7) = 1.30057
P1(26.8) = 0  P2(26.8) = 1.49409
P1(26.9) = 0  P2(26.9) = 1.48664
P1(27) = 0  P2(27) = 1.47922
P1(27.1) = 0  P2(27.1) = 1.47184
P1(27.2) = 0  P2(27.2) = 1.4645
P1(27.3) = 1.99501  P2(27.3) = 1.4572
P1(27.4) = 3.98007  P2(27.4) = 1.44993
P1(27.5) = 5.95522  P2(27.5) = 1.4427
P1(27.6) = 7.92053  P2(27.6) = 1.4355
P1(27.7) = 9.87604  P2(27.7) = 1.42834
P1(27.8) = 11.8218  P2(27.8) = 1.42122
P1(27.9) = 13.7578  P2(27.9) = 1.41413
P1(28) = 15.6842  P2(28) = 1.40708
P1(28.1) = 17.601  P2(28.1) = 1.40006
P1(28.2) = 19.5082  P2(28.2) = 1.39308
P1(28.3) = 0  P2(28.3) = 1.38613
P1(28.4) = 0  P2(28.4) = 1.37922
P1(28.5) = 0  P2(28.5) = 1.37234
P1(28.6) = 0  P2(28.6) = 1.36549
P1(28.7) = 0  P2(28.7) = 1.35868
P1(28.8) = 0  P2(28.8) = 1.35191
P1(28.9) = 0  P2(28.9) = 1.54516
P1(29) = 0  P2(29) = 1.53746
P1(29.1) = 0  P2(29.1) = 1.52979
P1(29.2) = 0  P2(29.2) = 1.52216
P1(29.3) = 0  P2(29.3) = 1.51457
P1(29.4) = 1.99501  P2(29.4) = 1.50701
P1(29.5) = 3.98007  P2(29.5) = 1.4995
P1(29.6) = 5.95522  P2(29.6) = 1.49202
P1(29.7) = 7.92053  P2(29.7) = 1.48458
P1(29.8) = 9.87604  P2(29.8) = 1.47717
P1(29.9) = 11.8218  P2(29.9) = 1.4698
P1(30) = 13.7578  P2(30) = 1.46247
