Membrane potentials for each step (in ms) [0,10000]
P1(810.3)=9.7 P2(810.3)=0 P115(810.3)=0 P116(810.3)=0
P1(810.4)=9.7 P2(810.4)=0 P115(810.4)=0 P116(810.4)=0
P1(810.5)=9.7 P2(810.5)=0 P115(810.5)=0 P116(810.5)=0
P1(810.6)=9.8 P2(810.6)=0 P115(810.6)=0 P116(810.6)=0
P1(810.7)=9.9 P2(810.7)=0 P115(810.7)=0 P116(810.7)=0
P1(810.8)=10.9 P2(810.8)=0 P115(810.8)=0 P116(810.8)=0
P1(810.9)=10.9 P2(810.9)=0 P115(810.9)=0 P116(810.9)=0
P1(811)=10.9 P2(811)=0 P115(811)=0 P116(811)=0
P1(811.1)=10.4 P2(811.1)=0 P115(811.1)=0 P116(811.1)=0
P1(811.2)=10.4 P2(811.2)=0 P115(811.2)=0 P116(811.2)=0
P1(811.3)=10.4 P2(811.3)=0 P115(811.3)=0 P116(811.3)=0
P1(811.4)=10.6 P2(811.4)=0 P115(811.4)=0 P116(811.4)=0
P1(811.5)=10.6 P2(811.5)=0 P115(811.5)=0 P116(811.5)=0
P1(811.6)=10.7 P2(811.6)=0 P115(811.6)=0 P116(811.6)=0
P1(811.7)=10.7 P2(811.7)=0 P115(811.7)=0 P116(811.7)=0
P1(811.8)=11.8 P2(811.8)=0 P115(811.8)=0 P116(811.8)=0
P1(811.9)=11.8 P2(811.9)=0 P115(811.9)=0 P116(811.9)=0
P1(812)=11.8 P2(812)=0 P115(812)=0 P116(812)=0
P1(812.1)=11.8 P2(812.1)=0 P115(812.1)=0 P116(812.1)=0
P1(812.2)=11.8 P2(812.2)=0 P115(812.2)=0 P116(812.2)=0
P1(812.3)=11.9 P2(812.3)=0 P115(812.3)=0 P116(812.3)=0
P1(812.4)=12 P2(812.4)=0 P115(812.4)=0 P116(812.4)=0
P1(812.5)=12.1 P2(812.5)=0 P115(812.5)=0 P116(812.5)=0
P1(812.6)=12.1 P2(812.6)=0 P115(812.6)=0 P116(812.6)=0
P1(812.7)=12.1 P2(812.7)=0 P115(812.7)=0 P116(812.7)=0
P1(812.8)=13.1 P2(812.8)=0 P115(812.8)=0 P116(812.8)=0
P1(812.9)=13.1 P2(812.9)=0 P115(812.9)=0 P116(812.9)=0
P1(813)=13.1 P2(813)=0 P115(813)=0 P116(813)=0
P1(813.1)=13.1 P2(813.1)=0 P115(813.1)=0 P116(813.1)=0
P1(813.2)=13.1 P2(813.2)=0 P115(813.2)=0 P116(813.2)=0
P1(813.3)=13.1 P2(813.3)=0 P115(813.3)=0 P116(813.3)=0
P1(813.4)=13.1 P2(813.4)=0 P115(813.4)=0 P116(813.4)=0
P1(813.5)=13.1 P2(813.5)=0 P115(813.5)=0 P116(813.5)=0
P1(813.6)=12.6 P2(813.6)=0 P115(813.6)=0 P116(813.6)=0
P1(813.7)=12.6 P2(813.7)=0 P115(813.7)=0 P116(813.7)=0
P1(813.8)=12.7 P2(813.8)=0 P115(813.8)=0 P116(813.8)=0
P1(813.9)=12.2 P2(813.9)=0 P115(813.9)=0 P116(813.9)=0
P1(814)=12.2 P2(814)=0 P115(814)=0 P116(814)=0
P1(814.1)=12.3 P2(814.1)=0 P115(814.1)=0 P116(814.1)=0
P1(814.2)=12.3 P2(814.2)=0 P115(814.2)=0 P116(814.2)=0
P1(814.3)=12.3 P2(814.3)=0 P115(814.3)=0 P116(814.3)=0
P1(814.4)=12.3 P2(814.4)=0 P115(814.4)=0 P116(814.4)=1
P1(814.5)=12.3 P2(814.5)=0 P115(814.5)=0 P116(814.5)=2
P1(814.6)=12.3 P2(814.6)=0 P115(814.6)=0 P116(814.6)=2.1
P1(814.7)=11.8 P2(814.7)=0 P115(814.7)=0 P116(814.7)=1.6
P1(814.8)=12.9 P2(814.8)=0 P115(814.8)=0 P116(814.8)=1.6
P1(814.9)=12.9 P2(814.9)=0 P115(814.9)=0 P116(814.9)=1.6
P1(815)=12.9 P2(815)=0 P115(815)=0 P116(815)=1.6
P1(815.1)=13 P2(815.1)=0 P115(815.1)=0 P116(815.1)=2.6
P1(815.2)=13.1 P2(815.2)=0 P115(815.2)=0 P116(815.2)=2.6
P1(815.3)=13.1 P2(815.3)=0 P115(815.3)=0 P116(815.3)=2.6
P1(815.4)=13.2 P2(815.4)=0 P115(815.4)=0 P116(815.4)=2.6
P1(815.5)=13.2 P2(815.5)=0 P115(815.5)=0 P116(815.5)=2.6
P1(815.6)=13.2 P2(815.6)=0 P115(815.6)=0 P116(815.6)=2.6
P1(815.7)=13.2 P2(815.7)=0 P115(815.7)=0 P116(815.7)=3.7
P1(815.8)=13.3 P2(815.8)=0 P115(815.8)=0 P116(815.8)=3.7
P1(815.9)=13.3 P2(815.9)=0 P115(815.9)=0 P116(815.9)=4.9
P1(816)=13.3 P2(816)=0 P115(816)=0 P116(816)=6
P1(816.1)=13.3 P2(816.1)=0 P115(816.1)=0 P116(816.1)=7.1
P1(816.2)=13.5 P2(816.2)=0 P115(816.2)=0 P116(816.2)=7.2
P1(816.3)=13.6 P2(816.3)=0 P115(816.3)=0 P116(816.3)=7.2
P1(816.4)=13.6 P2(816.4)=0 P115(816.4)=0 P116(816.4)=6.7
P1(816.5)=13.6 P2(816.5)=0 P115(816.5)=0 P116(816.5)=7.8
P1(816.6)=13.6 P2(816.6)=0 P115(816.6)=0 P116(816.6)=7.8
P1(816.7)=13.6 P2(816.7)=0 P115(816.7)=0 P116(816.7)=7.8
P1(816.8)=13.6 P2(816.8)=0 P115(816.8)=0 P116(816.8)=7.8
P1(816.9)=13.6 P2(816.9)=0 P115(816.9)=0 P116(816.9)=7.8
P1(817)=13.6 P2(817)=0 P115(817)=0 P116(817)=7.8
P1(817.1)=13.6 P2(817.1)=0 P115(817.1)=0 P116(817.1)=8.8
P1(817.2)=13.6 P2(817.2)=0 P115(817.2)=0 P116(817.2)=9
P1(817.3)=13.8 P2(817.3)=0 P115(817.3)=0 P116(817.3)=9
P1(817.4)=13.8 P2(817.4)=0 P115(817.4)=0 P116(817.4)=9.1
P1(817.5)=13.9 P2(817.5)=0 P115(817.5)=0.1 P116(817.5)=10.2
P1(817.6)=13.9 P2(817.6)=0 P115(817.6)=0.1 P116(817.6)=11.2
P1(817.7)=13.9 P2(817.7)=0 P115(817.7)=0.2 P116(817.7)=11.2
P1(817.8)=13.9 P2(817.8)=0 P115(817.8)=0.3 P116(817.8)=11.2
P1(817.9)=14 P2(817.9)=0 P115(817.9)=-0.2 P116(817.9)=11.3
P1(818)=14 P2(818)=0 P115(818)=-0.1 P116(818)=11.3
P1(818.1)=14 P2(818.1)=0 P115(818.1)=-0.3 P116(818.1)=11.3
P1(818.2)=14.1 P2(818.2)=0 P115(818.2)=-0.3 P116(818.2)=11.3
P1(818.3)=14.1 P2(818.3)=0 P115(818.3)=0.7 P116(818.3)=10.8
P1(818.4)=14.1 P2(818.4)=0 P115(818.4)=0.7 P116(818.4)=11.2
P1(818.5)=14.1 P2(818.5)=0 P115(818.5)=1.7 P116(818.5)=11.2
P1(818.6)=16.3 P2(818.6)=0 P115(818.6)=1.8 P116(818.6)=11.2
P1(818.7)=16.3 P2(818.7)=0 P115(818.7)=1.8 P116(818.7)=11.2
P1(818.8)=16.3 P2(818.8)=0 P115(818.8)=1.3 P116(818.8)=10.7
P1(818.9)=15.9 P2(818.9)=0 P115(818.9)=1.3 P116(818.9)=10.8
P1(819)=15.9 P2(819)=0 P115(819)=2.3 P116(819)=10.8
P1(819.1)=16 P2(819.1)=0 P115(819.1)=2.3 P116(819.1)=10.8
P1(819.2)=15.5 P2(819.2)=0 P115(819.2)=2.3 P116(819.2)=10.3
P1(819.3)=15.5 P2(819.3)=0 P115(819.3)=2.3 P116(819.3)=10.4
P1(819.4)=15.5 P2(819.4)=0 P115(819.4)=2.3 P116(819.4)=10.4
P1(819.5)=15.6 P2(819.5)=0 P115(819.5)=2.3 P116(819.5)=11.4
P1(819.6)=15.6 P2(819.6)=0 P115(819.6)=2.4 P116(819.6)=12.5
P1(819.7)=15.6 P2(819.7)=0 P115(819.7)=2.4 P116(819.7)=12.5
P1(819.8)=15.6 P2(819.8)=0 P115(819.8)=3.4 P116(819.8)=12.5
P1(819.9)=15.7 P2(819.9)=0 P115(819.9)=3.6 P116(819.9)=12.5
P1(820)=15.7 P2(820)=0 P115(820)=3.6 P116(820)=12.5
P1(820.1)=15.7 P2(820.1)=0 P115(820.1)=4.7 P116(820.1)=12.6
P1(820.2)=15.7 P2(820.2)=0 P115(820.2)=5.7 P116(820.2)=13.6
P1(820.3)=16.7 P2(820.3)=0 P115(820.3)=5.8 P116(820.3)=13.6
P1(820.4)=16.2 P2(820.4)=0 P115(820.4)=5.8 P116(820.4)=13.6
P1(820.5)=17.2 P2(820.5)=0 P115(820.5)=5.8 P116(820.5)=13.6
P1(820.6)=16.7 P2(820.6)=0 P115(820.6)=5.8 P116(820.6)=13.1
P1(820.7)=16.2 P2(820.7)=0 P115(820.7)=6 P116(820.7)=13.1
P1(820.8)=17.2 P2(820.8)=0 P115(820.8)=6 P116(820.8)=13.1
P1(820.9)=17.2 P2(820.9)=0 P115(820.9)=6.1 P116(820.9)=13.2
P1(821)=17.2 P2(821)=0 P115(821)=6.2 P116(821)=13.2
P1(821.1)=17.3 P2(821.1)=0 P115(821.1)=6.2 P116(821.1)=13.2
P1(821.2)=17.3 P2(821.2)=0 P115(821.2)=6.3 P116(821.2)=13.3
P1(821.3)=16.9 P2(821.3)=0 P115(821.3)=8.3 P116(821.3)=13.3
P1(821.4)=16.9 P2(821.4)=0 P115(821.4)=8.3 P116(821.4)=14.3
P1(821.5)=17 P2(821.5)=0 P115(821.5)=6.8 P116(821.5)=14.3
P1(821.6)=17 P2(821.6)=0 P115(821.6)=6.8 P116(821.6)=14.3
P1(821.7)=17 P2(821.7)=0 P115(821.7)=7.8 P116(821.7)=14.3
P1(821.8)=17 P2(821.8)=0 P115(821.8)=7.8 P116(821.8)=14.3
P1(821.9)=17.1 P2(821.9)=0 P115(821.9)=7.8 P116(821.9)=14.3
P1(822)=17.1 P2(822)=0 P115(822)=7.8 P116(822)=14.3
P1(822.1)=18.1 P2(822.1)=0 P115(822.1)=7.9 P116(822.1)=14.3
P1(822.2)=18.1 P2(822.2)=0 P115(822.2)=7.9 P116(822.2)=14.3
P1(822.3)=18.1 P2(822.3)=0 P115(822.3)=7.9 P116(822.3)=14.3
P1(822.4)=17.6 P2(822.4)=0 P115(822.4)=8.9 P116(822.4)=14.3
P1(822.5)=17.6 P2(822.5)=0 P115(822.5)=10 P116(822.5)=14.5
P1(822.6)=17.7 P2(822.6)=0 P115(822.6)=10 P116(822.6)=14.5
P1(822.7)=17.7 P2(822.7)=0 P115(822.7)=10 P116(822.7)=14.5
P1(822.8)=17.7 P2(822.8)=0 P115(822.8)=11 P116(822.8)=14.7
P1(822.9)=17.8 P2(822.9)=0 P115(822.9)=11 P116(822.9)=14.7
P1(823)=17.9 P2(823)=0 P115(823)=11 P116(823)=14.8
P1(823.1)=17.9 P2(823.1)=0 P115(823.1)=11 P116(823.1)=15
P1(823.2)=18.4 P2(823.2)=0 P115(823.2)=12 P116(823.2)=15
P1(823.3)=17.9 P2(823.3)=0 P115(823.3)=14 P116(823.3)=15.1
P1(823.4)=19 P2(823.4)=0 P115(823.4)=14.1 P116(823.4)=15.1
P1(823.5)=19.1 P2(823.5)=0 P115(823.5)=14.1 P116(823.5)=15.1
P1(823.6)=20.2 P2(823.6)=0 P115(823.6)=14.1 P116(823.6)=15.1
P1(823.7)=0 P2(823.7)=0 P115(823.7)=14.1 P116(823.7)=15.1
P1(823.8)=0 P2(823.8)=0 P115(823.8)=14.1 P116(823.8)=15.2
P1(823.9)=0 P2(823.9)=0 P115(823.9)=14.1 P116(823.9)=15.3
P1(824)=0 P2(824)=0 P115(824)=14.3 P116(824)=15.3
P1(824.1)=0 P2(824.1)=0 P115(824.1)=14.3 P116(824.1)=15.3
P1(824.2)=0 P2(824.2)=0 P115(824.2)=14.3 P116(824.2)=15.3
P1(824.3)=0 P2(824.3)=0 P115(824.3)=14.3 P116(824.3)=15.3
P1(824.4)=0 P2(824.4)=0 P115(824.4)=15.3 P116(824.4)=15.3
P1(824.5)=0 P2(824.5)=0 P115(824.5)=15.3 P116(824.5)=15.3
P1(824.6)=0 P2(824.6)=0 P115(824.6)=15.5 P116(824.6)=14.9
P1(824.7)=0 P2(824.7)=0 P115(824.7)=15.5 P116(824.7)=14.9
P1(824.8)=0 P2(824.8)=0 P115(824.8)=15.6 P116(824.8)=15.9
P1(824.9)=0 P2(824.9)=0.1 P115(824.9)=15.6 P116(824.9)=15.9
P1(825)=0 P2(825)=1.2 P115(825)=15.6 P116(825)=16.4
P1(825.1)=0 P2(825.1)=1.2 P115(825.1)=15.6 P116(825.1)=16.5
P1(825.2)=0 P2(825.2)=1.2 P115(825.2)=15.6 P116(825.2)=16.5
P1(825.3)=0 P2(825.3)=1.2 P115(825.3)=15.7 P116(825.3)=16.5
P1(825.4)=0 P2(825.4)=1.2 P115(825.4)=16.9 P116(825.4)=16.5
P1(825.5)=0 P2(825.5)=1.2 P115(825.5)=16.9 P116(825.5)=17.5
P1(825.6)=0 P2(825.6)=1.2 P115(825.6)=17 P116(825.6)=17.5
P1(825.7)=0 P2(825.7)=1.2 P115(825.7)=17 P116(825.7)=17.5
P1(825.8)=0 P2(825.8)=1.2 P115(825.8)=17 P116(825.8)=17.1
P1(825.9)=0 P2(825.9)=1.3 P115(825.9)=17.1 P116(825.9)=17.3
P1(826)=0 P2(826)=1.3 P115(826)=17.1 P116(826)=19.3
P1(826.1)=0 P2(826.1)=1.3 P115(826.1)=17.4 P116(826.1)=19.4
P1(826.2)=0 P2(826.2)=1.5 P115(826.2)=19.5 P116(826.2)=19.5
P1(826.3)=0 P2(826.3)=1.5 P115(826.3)=19.6 P116(826.3)=21.6
P1(826.4)=0 P2(826.4)=1.5 P115(826.4)=19.6 P116(826.4)=0
P1(826.5)=0 P2(826.5)=1 P115(826.5)=19.7 P116(826.5)=0
P1(826.6)=0 P2(826.6)=2 P115(826.6)=18.7 P116(826.6)=0
P1(826.7)=0 P2(826.7)=2.1 P115(826.7)=19.7 P116(826.7)=0
P1(826.8)=0 P2(826.8)=2.1 P115(826.8)=20.7 P116(826.8)=0
P1(826.9)=0 P2(826.9)=2.2 P115(826.9)=0 P116(826.9)=0
P1(827)=0 P2(827)=2.3 P115(827)=0 P116(827)=0
P1(827.1)=0 P2(827.1)=1.8 P115(827.1)=0 P116(827.1)=0
P1(827.2)=0 P2(827.2)=2 P115(827.2)=0 P116(827.2)=0
P1(827.3)=0 P2(827.3)=2 P115(827.3)=0 P116(827.3)=0
P1(827.4)=0 P2(827.4)=2 P115(827.4)=0 P116(827.4)=0
P1(827.5)=0 P2(827.5)=3 P115(827.5)=0 P116(827.5)=0
P1(827.6)=0 P2(827.6)=3 P115(827.6)=0 P116(827.6)=0
P1(827.7)=0 P2(827.7)=3 P115(827.7)=0 P116(827.7)=0
P1(827.8)=0 P2(827.8)=3.1 P115(827.8)=0 P116(827.8)=0
P1(827.9)=0 P2(827.9)=4.1 P115(827.9)=0 P116(827.9)=0
P1(828)=0 P2(828)=5.2 P115(828)=0 P116(828)=0
P1(828.1)=0 P2(828.1)=5.2 P115(828.1)=0 P116(828.1)=0
P1(828.2)=0 P2(828.2)=5.2 P115(828.2)=0 P116(828.2)=0
P1(828.3)=0 P2(828.3)=5.2 P115(828.3)=0 P116(828.3)=0
P1(828.4)=0 P2(828.4)=5.3 P115(828.4)=0 P116(828.4)=0
P1(828.5)=0 P2(828.5)=5.3 P115(828.5)=0 P116(828.5)=0
P1(828.6)=0 P2(828.6)=5.4 P115(828.6)=0 P116(828.6)=0
P1(828.7)=0 P2(828.7)=5.4 P115(828.7)=0 P116(828.7)=0
P1(828.8)=0 P2(828.8)=5.4 P115(828.8)=0 P116(828.8)=0
P1(828.9)=0 P2(828.9)=5.5 P115(828.9)=0 P116(828.9)=0
P1(829)=0 P2(829)=5.5 P115(829)=0 P116(829)=0
P1(829.1)=0 P2(829.1)=4.5 P115(829.1)=0 P116(829.1)=0
P1(829.2)=0 P2(829.2)=4.6 P115(829.2)=0 P116(829.2)=0
P1(829.3)=0 P2(829.3)=4.1 P115(829.3)=0 P116(829.3)=0
P1(829.4)=0 P2(829.4)=4.1 P115(829.4)=0 P116(829.4)=0
P1(829.5)=0 P2(829.5)=3.6 P115(829.5)=0 P116(829.5)=0
P1(829.6)=0 P2(829.6)=3.6 P115(829.6)=0 P116(829.6)=0
P1(829.7)=0 P2(829.7)=3.6 P115(829.7)=0 P116(829.7)=0
P1(829.8)=0 P2(829.8)=3.6 P115(829.8)=0 P116(829.8)=0
P1(829.9)=0 P2(829.9)=3.6 P115(829.9)=0 P116(829.9)=0
P1(830)=0 P2(830)=3.7 P115(830)=0 P116(830)=0
P1(830.1)=0 P2(830.1)=3.7 P115(830.1)=0 P116(830.1)=0
P1(830.2)=0 P2(830.2)=3.9 P115(830.2)=0 P116(830.2)=0
P1(830.3)=0 P2(830.3)=3.9 P115(830.3)=0 P116(830.3)=0
P1(830.4)=0 P2(830.4)=3.9 P115(830.4)=0 P116(830.4)=0
P1(830.5)=0 P2(830.5)=4 P115(830.5)=0 P116(830.5)=0
P1(830.6)=0 P2(830.6)=4 P115(830.6)=0 P116(830.6)=0
P1(830.7)=0 P2(830.7)=3.5 P115(830.7)=0 P116(830.7)=0
P1(830.8)=0 P2(830.8)=3.5 P115(830.8)=0 P116(830.8)=0
P1(830.9)=0 P2(830.9)=4.5 P115(830.9)=0 P116(830.9)=0
P1(831)=0 P2(831)=4.5 P115(831)=0 P116(831)=0
P1(831.1)=0 P2(831.1)=4.5 P115(831.1)=0 P116(831.1)=0
P1(831.2)=0 P2(831.2)=4 P115(831.2)=0 P116(831.2)=0
P1(831.3)=0 P2(831.3)=4 P115(831.3)=0 P116(831.3)=0
P1(831.4)=0 P2(831.4)=4 P115(831.4)=0 P116(831.4)=0
P1(831.5)=0 P2(831.5)=4 P115(831.5)=0 P116(831.5)=0
P1(831.6)=0 P2(831.6)=4 P115(831.6)=0 P116(831.6)=0
P1(831.7)=0 P2(831.7)=4 P115(831.7)=0 P116(831.7)=0
P1(831.8)=0 P2(831.8)=6 P115(831.8)=0 P116(831.8)=0
P1(831.9)=0 P2(831.9)=6 P115(831.9)=0 P116(831.9)=0
P1(832)=0 P2(832)=6 P115(832)=0 P116(832)=0
P1(832.1)=0 P2(832.1)=6 P115(832.1)=0 P116(832.1)=0
P1(832.2)=0 P2(832.2)=6.1 P115(832.2)=0 P116(832.2)=0
P1(832.3)=0 P2(832.3)=6.1 P115(832.3)=0 P116(832.3)=0
P1(832.4)=0 P2(832.4)=6.1 P115(832.4)=0 P116(832.4)=0
P1(832.5)=0 P2(832.5)=6.1 P115(832.5)=0 P116(832.5)=0
P1(832.6)=0 P2(832.6)=6.1 P115(832.6)=0 P116(832.6)=0
P1(832.7)=0 P2(832.7)=7.1 P115(832.7)=0 P116(832.7)=0
P1(832.8)=0 P2(832.8)=7.1 P115(832.8)=0 P116(832.8)=0
P1(832.9)=0 P2(832.9)=9.2 P115(832.9)=0 P116(832.9)=0
P1(833)=0 P2(833)=9.2 P115(833)=0 P116(833)=0
P1(833.1)=0 P2(833.1)=8.7 P115(833.1)=0 P116(833.1)=0
P1(833.2)=0 P2(833.2)=8.7 P115(833.2)=0 P116(833.2)=0
P1(833.3)=0 P2(833.3)=9.7 P115(833.3)=0 P116(833.3)=0
P1(833.4)=0 P2(833.4)=9.7 P115(833.4)=0 P116(833.4)=0
P1(833.5)=0 P2(833.5)=9.7 P115(833.5)=0 P116(833.5)=0
P1(833.6)=0 P2(833.6)=9.7 P115(833.6)=0 P116(833.6)=0
P1(833.7)=0 P2(833.7)=10.7 P115(833.7)=0 P116(833.7)=0
P1(833.8)=0 P2(833.8)=10.8 P115(833.8)=0 P116(833.8)=0
P1(833.9)=0 P2(833.9)=10.9 P115(833.9)=0 P116(833.9)=0
P1(834)=0 P2(834)=10.9 P115(834)=0 P116(834)=0
P1(834.1)=0 P2(834.1)=10.9 P115(834.1)=0 P116(834.1)=0
P1(834.2)=0 P2(834.2)=11 P115(834.2)=0 P116(834.2)=0
P1(834.3)=0 P2(834.3)=11.2 P115(834.3)=0 P116(834.3)=0
P1(834.4)=0 P2(834.4)=11.4 P115(834.4)=0 P116(834.4)=0
P1(834.5)=0 P2(834.5)=11.4 P115(834.5)=0 P116(834.5)=0
P1(834.6)=0 P2(834.6)=11.4 P115(834.6)=0 P116(834.6)=0
P1(834.7)=0 P2(834.7)=11.4 P115(834.7)=0 P116(834.7)=0
P1(834.8)=0 P2(834.8)=11.4 P115(834.8)=0 P116(834.8)=0
P1(834.9)=0 P2(834.9)=11.4 P115(834.9)=0 P116(834.9)=0
P1(835)=0 P2(835)=11.4 P115(835)=0 P116(835)=0
P1(835.1)=0 P2(835.1)=11.4 P115(835.1)=0 P116(835.1)=0
P1(835.2)=0 P2(835.2)=11.4 P115(835.2)=0 P116(835.2)=0
P1(835.3)=0 P2(835.3)=12.4 P115(835.3)=0 P116(835.3)=0
P1(835.4)=0 P2(835.4)=12.4 P115(835.4)=0 P116(835.4)=0
P1(835.5)=0 P2(835.5)=14.4 P115(835.5)=0 P116(835.5)=0
P1(835.6)=0 P2(835.6)=14.4 P115(835.6)=0 P116(835.6)=0
P1(835.7)=0 P2(835.7)=14.4 P115(835.7)=0 P116(835.7)=0
P1(835.8)=0 P2(835.8)=14.4 P115(835.8)=0 P116(835.8)=0
P1(835.9)=0 P2(835.9)=15.4 P115(835.9)=0 P116(835.9)=0
P1(836)=0 P2(836)=15.4 P115(836)=0 P116(836)=0
P1(836.1)=0 P2(836.1)=15.4 P115(836.1)=0 P116(836.1)=0
P1(836.2)=0 P2(836.2)=15.4 P115(836.2)=0 P116(836.2)=0
P1(836.3)=0 P2(836.3)=14.9 P115(836.3)=0 P116(836.3)=0
P1(836.4)=0 P2(836.4)=14.9 P115(836.4)=0 P116(836.4)=0
P1(836.5)=0 P2(836.5)=14.9 P115(836.5)=0 P116(836.5)=0
P1(836.6)=0 P2(836.6)=14.9 P115(836.6)=0 P116(836.6)=0
P1(836.7)=0 P2(836.7)=15.1 P115(836.7)=0 P116(836.7)=0
P1(836.8)=0 P2(836.8)=17.1 P115(836.8)=0 P116(836.8)=0
P1(836.9)=0 P2(836.9)=17.1 P115(836.9)=0 P116(836.9)=0
P1(837)=0 P2(837)=17.1 P115(837)=0 P116(837)=0
P1(837.1)=0 P2(837.1)=18.3 P115(837.1)=0 P116(837.1)=0
P1(837.2)=0 P2(837.2)=18.5 P115(837.2)=0 P116(837.2)=0
P1(837.3)=0 P2(837.3)=18.5 P115(837.3)=0 P116(837.3)=0
P1(837.4)=0 P2(837.4)=19.5 P115(837.4)=0 P116(837.4)=0
P1(837.5)=0 P2(837.5)=19.5 P115(837.5)=0 P116(837.5)=0
P1(837.6)=0 P2(837.6)=19.5 P115(837.6)=0 P116(837.6)=0
P1(837.7)=0 P2(837.7)=19 P115(837.7)=0 P116(837.7)=0
P1(837.8)=0 P2(837.8)=20 P115(837.8)=0 P116(837.8)=0
P1(837.9)=0 P2(837.9)=20 P115(837.9)=0 P116(837.9)=0
P1(838)=0 P2(838)=20 P115(838)=0 P116(838)=0
P1(838.1)=0 P2(838.1)=20 P115(838.1)=0 P116(838.1)=0
P1(838.2)=0 P2(838.2)=20 P115(838.2)=0 P116(838.2)=0
P1(838.3)=0 P2(838.3)=20 P115(838.3)=0 P116(838.3)=0
P1(838.4)=0 P2(838.4)=20.1 P115(838.4)=0 P116(838.4)=0
P1(838.5)=0 P2(838.5)=0 P115(838.5)=0 P116(838.5)=0
P1(838.6)=0 P2(838.6)=0 P115(838.6)=0 P116(838.6)=0
P1(838.7)=0 P2(838.7)=0 P115(838.7)=0 P116(838.7)=0
P1(838.8)=0 P2(838.8)=0 P115(838.8)=0 P116(838.8)=0
P1(838.9)=0 P2(838.9)=0 P115(838.9)=0 P116(838.9)=0
P1(839)=0 P2(839)=0 P115(839)=0 P116(839)=0
P1(839.1)=0 P2(839.1)=0 P115(839.1)=0 P116(839.1)=0
P1(839.2)=0 P2(839.2)=0 P115(839.2)=0 P116(839.2)=0
P1(839.3)=0 P2(839.3)=0 P115(839.3)=0 P116(839.3)=0
P1(839.4)=0 P2(839.4)=0 P115(839.4)=0 P116(839.4)=0
P1(839.5)=0 P2(839.5)=0 P115(839.5)=0 P116(839.5)=0
P1(839.6)=0 P2(839.6)=0 P115(839.6)=0 P116(839.6)=0
P1(839.7)=0 P2(839.7)=0 P115(839.7)=0 P116(839.7)=0
P1(839.8)=0 P2(839.8)=0 P115(839.8)=0 P116(839.8)=0
P1(839.9)=0 P2(839.9)=0 P115(839.9)=0 P116(839.9)=0
P1(840)=0 P2(840)=0 P115(840)=0 P116(840)=0
P1(840.1)=0 P2(840.1)=0 P115(840.1)=0 P116(840.1)=0
P1(840.2)=0 P2(840.2)=0 P115(840.2)=0 P116(840.2)=0
P1(840.3)=0 P2(840.3)=0 P115(840.3)=0 P116(840.3)=0
P1(840.4)=0 P2(840.4)=0 P115(840.4)=0 P116(840.4)=0
P1(840.5)=0 P2(840.5)=0 P115(840.5)=0 P116(840.5)=0
P1(840.6)=0 P2(840.6)=0 P115(840.6)=0 P116(840.6)=0
P1(840.7)=0 P2(840.7)=0 P115(840.7)=0 P116(840.7)=0
P1(840.8)=0 P2(840.8)=0 P115(840.8)=0 P116(840.8)=0
P1(840.9)=0 P2(840.9)=0 P115(840.9)=0 P116(840.9)=0
P1(841)=0 P2(841)=0 P115(841)=0 P116(841)=0
P1(841.1)=0 P2(841.1)=0 P115(841.1)=0 P116(841.1)=0
P1(841.2)=0 P2(841.2)=0 P115(841.2)=0 P116(841.2)=0
P1(841.3)=0 P2(841.3)=0 P115(841.3)=0 P116(841.3)=0
P1(841.4)=0 P2(841.4)=0 P115(841.4)=0 P116(841.4)=0
P1(841.5)=0 P2(841.5)=0 P115(841.5)=0 P116(841.5)=0
P1(841.6)=0 P2(841.6)=0 P115(841.6)=0 P116(841.6)=0
P1(841.7)=0 P2(841.7)=0 P115(841.7)=0 P116(841.7)=0
P1(841.8)=0 P2(841.8)=0 P115(841.8)=0 P116(841.8)=0
P1(841.9)=0 P2(841.9)=0 P115(841.9)=0 P116(841.9)=0
P1(842)=0 P2(842)=0 P115(842)=0 P116(842)=0
P1(842.1)=0 P2(842.1)=0 P115(842.1)=0 P116(842.1)=0
P1(842.2)=0 P2(842.2)=0 P115(842.2)=0 P116(842.2)=0
P1(842.3)=0 P2(842.3)=0 P115(842.3)=0 P116(842.3)=0
P1(842.4)=0 P2(842.4)=0 P115(842.4)=0 P116(842.4)=0
P1(842.5)=0 P2(842.5)=0 P115(842.5)=0 P116(842.5)=0
P1(842.6)=0 P2(842.6)=0 P115(842.6)=0 P116(842.6)=0
P1(842.7)=0 P2(842.7)=0 P115(842.7)=0 P116(842.7)=0
P1(842.8)=0 P2(842.8)=0 P115(842.8)=0 P116(842.8)=0
P1(842.9)=0 P2(842.9)=0 P115(842.9)=0 P116(842.9)=0
P1(843)=0 P2(843)=0 P115(843)=0 P116(843)=0
P1(843.1)=0 P2(843.1)=0 P115(843.1)=0 P116(843.1)=0
P1(843.2)=0 P2(843.2)=0 P115(843.2)=0 P116(843.2)=0
P1(843.3)=0 P2(843.3)=0 P115(843.3)=0 P116(843.3)=0
P1(843.4)=0 P2(843.4)=0 P115(843.4)=0 P116(843.4)=0
P1(843.5)=0 P2(843.5)=0 P115(843.5)=0 P116(843.5)=0
P1(843.6)=0 P2(843.6)=0 P115(843.6)=0 P116(843.6)=0
