Membrane potentials for each step (in ms) [0,10000]
P1(14.7)=0 P2(14.7)=0 P115(14.7)=0 P116(14.7)=0
P1(14.8)=0 P2(14.8)=0 P115(14.8)=0 P116(14.8)=0
P1(14.9)=0 P2(14.9)=0 P115(14.9)=0 P116(14.9)=0
P1(15)=0 P2(15)=0 P115(15)=0 P116(15)=0
P1(15.1)=0 P2(15.1)=0 P115(15.1)=0 P116(15.1)=0
P1(15.2)=0 P2(15.2)=0 P115(15.2)=0 P116(15.2)=0
P1(15.3)=0 P2(15.3)=0 P115(15.3)=0 P116(15.3)=0
P1(15.4)=0 P2(15.4)=0 P115(15.4)=0 P116(15.4)=0
P1(15.5)=0 P2(15.5)=0 P115(15.5)=0 P116(15.5)=0
P1(15.6)=0 P2(15.6)=0 P115(15.6)=0 P116(15.6)=0
P1(15.7)=0 P2(15.7)=0 P115(15.7)=0 P116(15.7)=0
P1(15.8)=0 P2(15.8)=0 P115(15.8)=0 P116(15.8)=0
P1(15.9)=0 P2(15.9)=0 P115(15.9)=0 P116(15.9)=0
P1(16)=0 P2(16)=0 P115(16)=0 P116(16)=0
P1(16.1)=0 P2(16.1)=0 P115(16.1)=0 P116(16.1)=0
P1(16.2)=0 P2(16.2)=0 P115(16.2)=0 P116(16.2)=0
P1(16.3)=0 P2(16.3)=0 P115(16.3)=0 P116(16.3)=0
P1(16.4)=0 P2(16.4)=0 P115(16.4)=0 P116(16.4)=0
P1(16.5)=0 P2(16.5)=0 P115(16.5)=0 P116(16.5)=0
P1(16.6)=0 P2(16.6)=0 P115(16.6)=0 P116(16.6)=0
P1(16.7)=0 P2(16.7)=0 P115(16.7)=0 P116(16.7)=0
P1(16.8)=0 P2(16.8)=0 P115(16.8)=0 P116(16.8)=0
P1(16.9)=0 P2(16.9)=0 P115(16.9)=0 P116(16.9)=0
P1(17)=0 P2(17)=0 P115(17)=0 P116(17)=0
P1(17.1)=0 P2(17.1)=0 P115(17.1)=0 P116(17.1)=0
P1(17.2)=0 P2(17.2)=0 P115(17.2)=0 P116(17.2)=0
P1(17.3)=0 P2(17.3)=0 P115(17.3)=0 P116(17.3)=0
P1(17.4)=0 P2(17.4)=0 P115(17.4)=0 P116(17.4)=0
P1(17.5)=0 P2(17.5)=0 P115(17.5)=0 P116(17.5)=0
P1(17.6)=0 P2(17.6)=0 P115(17.6)=0 P116(17.6)=0
P1(17.7)=0 P2(17.7)=0 P115(17.7)=0 P116(17.7)=0
P1(17.8)=0 P2(17.8)=0 P115(17.8)=0 P116(17.8)=0
P1(17.9)=0 P2(17.9)=0 P115(17.9)=0 P116(17.9)=0
P1(18)=0 P2(18)=0 P115(18)=0 P116(18)=0
P1(18.1)=0 P2(18.1)=0 P115(18.1)=0 P116(18.1)=0
P1(18.2)=0 P2(18.2)=0 P115(18.2)=0 P116(18.2)=0
P1(18.3)=0 P2(18.3)=0 P115(18.3)=0 P116(18.3)=0
P1(18.4)=0 P2(18.4)=0 P115(18.4)=0 P116(18.4)=0
P1(18.5)=0 P2(18.5)=0 P115(18.5)=0 P116(18.5)=0
P1(18.6)=0 P2(18.6)=0 P115(18.6)=0 P116(18.6)=0
P1(18.7)=0 P2(18.7)=0 P115(18.7)=0 P116(18.7)=0
P1(18.8)=0 P2(18.8)=0 P115(18.8)=0 P116(18.8)=0
P1(18.9)=0 P2(18.9)=0 P115(18.9)=0 P116(18.9)=0
P1(19)=0 P2(19)=0 P115(19)=0 P116(19)=0
